        CONTAINER ID                                                                                     IMAGE                         COMMAND                      STATUS               PORTS                                                                                                                 NAMES
        8e17525d6576   prom/prometheus@sha256:b37103e03399e90c9b7b1b2940894d3634915cf9df4aa2e5402bd85b4377808c             "/bin/prometheus …"                Up 4 minutes                  []                             [/k8s_prometheus-apache_prometheus-apache_default_520dc696-f955-452f-bd66-6ccfcaecfbc3_0]
        b3e705fbde13                                                                      k8s.gcr.io/pause:3.6                        "/pause"                Up 4 minutes                  []                                           [/k8s_POD_prometheus-apache_default_520dc696-f955-452f-bd66-6ccfcaecfbc3_0]
        510637a081cb   prom/prometheus@sha256:b37103e03399e90c9b7b1b2940894d3634915cf9df4aa2e5402bd85b4377808c             "/bin/prometheus …"                Up 6 minutes                  []                           [/k8s_prometheus_prometheus-65d8cd6c4-qwvhk_default_4d49db0a-aaa1-4f32-881c-e9665b8cdec6_0]
        db30e2571e3a                                                                      k8s.gcr.io/pause:3.6                        "/pause"                Up 6 minutes                  []                                  [/k8s_POD_prometheus-65d8cd6c4-qwvhk_default_4d49db0a-aaa1-4f32-881c-e9665b8cdec6_0]
        46ae29ac1531   prom/prometheus@sha256:b37103e03399e90c9b7b1b2940894d3634915cf9df4aa2e5402bd85b4377808c             "/bin/prometheus …"                Up 8 minutes                  []                                        [/k8s_prometheus-apache_apache_default_0511832d-66df-4ee8-b850-b74a4a0db16f_0]
        31ba1325a966                                                                      k8s.gcr.io/pause:3.6                        "/pause"                Up 8 minutes                  []                                                      [/k8s_POD_apache_default_0511832d-66df-4ee8-b850-b74a4a0db16f_0]
        d40b0762921f   prom/prometheus@sha256:b37103e03399e90c9b7b1b2940894d3634915cf9df4aa2e5402bd85b4377808c             "/bin/prometheus …"               Up 19 minutes                  []                [/k8s_prometheus_prometheus-deployment-65d8cd6c4-cpqgj_default_6025f21b-8a0b-4ff3-81dd-7621deabfcc6_0]
        4ce013145f11                                                                      k8s.gcr.io/pause:3.6                        "/pause"               Up 19 minutes                  []                       [/k8s_POD_prometheus-deployment-65d8cd6c4-cpqgj_default_6025f21b-8a0b-4ff3-81dd-7621deabfcc6_0]
        1ab8b1d05bad                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38               "process-agent …"                  Up 4 hours                  []                             [/k8s_process-agent_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_1]
        ca795ce82138                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                       "agent …"                  Up 4 hours                  []                                     [/k8s_agent_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_1]
        e321b62f089d                   sha256:2f37d032146a5a628cb423ba9e412de31439db4203ea83a901cea5fac6573a3b              "/entrypoint.sh …"                  Up 4 hours                  []    [/k8s_cluster-agent_release-datadog-cluster-agent-64d6cb7695-glmb2_default_89990e20-3213-4ee1-8311-03c488530a26_1]
        348ef4e8c960                   sha256:6e38f40d628db3002f5617342c8872c935de530d867d0f709a2fbda1a302a562          "/storage-provisioner"                  Up 4 hours                  []                     [/k8s_storage-provisioner_storage-provisioner_kube-system_16b52cb6-949a-4a39-af1a-2317e226f344_8]
        9416322b3a02                                                                      k8s.gcr.io/pause:3.6                        "/pause"   Exited (0) 49 minutes ago                  []                       [/k8s_POD_prometheus-deployment-cff4f97d6-9ms9q_default_901078fa-abeb-4ffa-aa00-f8fc91e3ef64_0]
        9796afb426d0                   sha256:6e38f40d628db3002f5617342c8872c935de530d867d0f709a2fbda1a302a562          "/storage-provisioner"    Exited (255) 4 hours ago                  []                     [/k8s_storage-provisioner_storage-provisioner_kube-system_16b52cb6-949a-4a39-af1a-2317e226f344_7]
        7b72307e7891                                                                      k8s.gcr.io/pause:3.6                        "/pause"     Exited (0) 26 hours ago                  []                                 [/k8s_POD_prometheus-644764b59c-sznlv_default_f80c39bd-8cc7-4f9a-98f8-5f4945048ed4_0]
        92f208758350                                                                      k8s.gcr.io/pause:3.6                        "/pause"     Exited (0) 26 hours ago                  []                      [/k8s_POD_prometheus-deployment-67849646bc-nzlwf_default_51955445-9f73-434a-9db0-2759e944a759_0]
        4775ea97ecb9                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38               "process-agent …"      Exited (2) 4 hours ago                  []                             [/k8s_process-agent_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_0]
        f0676a077657                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                 "trace-agent …"                 Up 27 hours                  []                               [/k8s_trace-agent_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_0]
        d1068cae19ce                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                       "agent …"      Exited (2) 4 hours ago                  []                                     [/k8s_agent_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_0]
        695fcdc356f5                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                        "bash …"     Exited (0) 27 hours ago                  []                               [/k8s_init-config_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_0]
        f7b34381412a                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                        "bash …"     Exited (0) 27 hours ago                  []                               [/k8s_init-volume_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_0]
        7b4d4ea055cc                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 27 hours                  []                                       [/k8s_POD_release-datadog-pldfp_default_669d0f42-dd02-47a9-b776-1417159094b8_0]
        03d471cd8e69                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 27 hours                  []              [/k8s_POD_release-datadog-cluster-agent-64d6cb7695-glmb2_default_89990e20-3213-4ee1-8311-03c488530a26_0]
        120c1a8dfa90                                                                      k8s.gcr.io/pause:3.6                        "/pause"     Exited (0) 30 hours ago                  []                      [/k8s_POD_prometheus-deployment-8654b8f494-8bssw_default_94855ce0-1c9b-4005-bc27-aca126ac259f_0]
        b54efcf1cce5             redis@sha256:69a3ab2516b560690e37197b71bc61ba245aafe4525ebdece1d8a0bc5669e3e2        "docker-entrypoint.sh …"                 Up 30 hours                  []                                                     [/k8s_redis_redis_default_2be40fbc-0cb5-440b-bd3a-6e19031c7441_0]
        13157e446bec                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 30 hours                  []                                                       [/k8s_POD_redis_default_2be40fbc-0cb5-440b-bd3a-6e19031c7441_0]
        861e070e781b                   sha256:5c51d2b27fc482eaa42042fb5be3861f856c7b4632a9bc75a8006977dfc0da5a         "/kube-state-metrics …"                 Up 31 hours                  []   [/k8s_kube-state-metrics_release-kube-state-metrics-c4787c9c4-pdk76_default_2e18de2a-1945-4bc9-8c5b-8f85ce573092_2]
        6b6264a7e388                   sha256:5c51d2b27fc482eaa42042fb5be3861f856c7b4632a9bc75a8006977dfc0da5a         "/kube-state-metrics …"   Exited (255) 31 hours ago                  []   [/k8s_kube-state-metrics_release-kube-state-metrics-c4787c9c4-pdk76_default_2e18de2a-1945-4bc9-8c5b-8f85ce573092_1]
        c34109900dfc                   sha256:a4ca41631cc7ac19ce1be3ebf0314ac5f47af7c711f17066006db82ee3b75b03                    "/coredns …"                 Up 31 hours                  []                             [/k8s_coredns_coredns-64897985d-jf8f5_kube-system_b2102ee9-3149-43d8-a3ba-18ff36b70027_1]
        7db54c0389e8                   sha256:9b7cc9982109819e8fe5b0b6c0d3122790f88275e13b02f79e7e9e307466aa1b   "/usr/local/bin/kube-proxy …"                 Up 31 hours                  []                                 [/k8s_kube-proxy_kube-proxy-jsh2j_kube-system_d0f8cb24-b834-415f-a510-b206dc942578_1]
        1f8c8a343bf4                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                  [/k8s_POD_release-kube-state-metrics-c4787c9c4-pdk76_default_2e18de2a-1945-4bc9-8c5b-8f85ce573092_1]
        3c2bb31b1202                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                                 [/k8s_POD_coredns-64897985d-jf8f5_kube-system_b2102ee9-3149-43d8-a3ba-18ff36b70027_1]
        8a07da82d1d9                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                                        [/k8s_POD_kube-proxy-jsh2j_kube-system_d0f8cb24-b834-415f-a510-b206dc942578_1]
        2afe74e5baa1                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                                     [/k8s_POD_storage-provisioner_kube-system_16b52cb6-949a-4a39-af1a-2317e226f344_1]
        8cd1f3de22d3                   sha256:f40be0088a83e79642d0a2a1bbc55e61b9289167385e67701b82ea85fc9bbfc4              "kube-apiserver …"                 Up 31 hours                  []                          [/k8s_kube-apiserver_kube-apiserver-minikube_kube-system_cd6e47233d36a9715b0ab9632f871843_1]
        00a6a8896df1                   sha256:b07520cd7ab76ec98ea6c07ae56d21d65f29708c24f90a55a3c30d823419577e     "kube-controller-manager …"                 Up 31 hours                  []        [/k8s_kube-controller-manager_kube-controller-manager-minikube_kube-system_b965983ec05322d0973594a01d5e8245_1]
        6713307f09e0                   sha256:99a3486be4f2837c939313935007928f97b81a1cf11495808d81ad6b14c04078              "kube-scheduler …"                 Up 31 hours                  []                          [/k8s_kube-scheduler_kube-scheduler-minikube_kube-system_be132fe5c6572cb34d93f5e05ce2a540_1]
        865aeae996e8                   sha256:25f8c7f3da61c2a810effe5fa779cf80ca171afb0adf94c7cb51eb9a8546629d                        "etcd …"                 Up 31 hours                  []                                              [/k8s_etcd_etcd-minikube_kube-system_9d3d310935e5fabe942511eec3e2cd0c_1]
        6ddee4d792bb                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                                     [/k8s_POD_kube-apiserver-minikube_kube-system_cd6e47233d36a9715b0ab9632f871843_1]
        0c22cb04a10f                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                                               [/k8s_POD_etcd-minikube_kube-system_9d3d310935e5fabe942511eec3e2cd0c_1]
        7ba31a12b257                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                                     [/k8s_POD_kube-scheduler-minikube_kube-system_be132fe5c6572cb34d93f5e05ce2a540_1]
        4dab4313eb8c                                                                      k8s.gcr.io/pause:3.6                        "/pause"                 Up 31 hours                  []                            [/k8s_POD_kube-controller-manager-minikube_kube-system_b965983ec05322d0973594a01d5e8245_1]
        2d93d9858bb8                   sha256:a4ca41631cc7ac19ce1be3ebf0314ac5f47af7c711f17066006db82ee3b75b03                    "/coredns …"     Exited (0) 31 hours ago                  []                             [/k8s_coredns_coredns-64897985d-jf8f5_kube-system_b2102ee9-3149-43d8-a3ba-18ff36b70027_0]
        74eca18e8fbc                   sha256:9b7cc9982109819e8fe5b0b6c0d3122790f88275e13b02f79e7e9e307466aa1b   "/usr/local/bin/kube-proxy …"     Exited (2) 31 hours ago                  []                                 [/k8s_kube-proxy_kube-proxy-jsh2j_kube-system_d0f8cb24-b834-415f-a510-b206dc942578_0]
        ca7d8bebfa64                                                                      k8s.gcr.io/pause:3.6                        "/pause"   Exited (255) 31 hours ago                  []                                 [/k8s_POD_coredns-64897985d-jf8f5_kube-system_b2102ee9-3149-43d8-a3ba-18ff36b70027_0]
        5bc5de1f8710                                                                      k8s.gcr.io/pause:3.6                        "/pause"   Exited (255) 31 hours ago                  []                                        [/k8s_POD_kube-proxy-jsh2j_kube-system_d0f8cb24-b834-415f-a510-b206dc942578_0]
        af36132476f3                   sha256:f40be0088a83e79642d0a2a1bbc55e61b9289167385e67701b82ea85fc9bbfc4              "kube-apiserver …"   Exited (137) 31 hours ago                  []                          [/k8s_kube-apiserver_kube-apiserver-minikube_kube-system_cd6e47233d36a9715b0ab9632f871843_0]
        2dcc09c39516                   sha256:25f8c7f3da61c2a810effe5fa779cf80ca171afb0adf94c7cb51eb9a8546629d                        "etcd …"     Exited (0) 31 hours ago                  []                                              [/k8s_etcd_etcd-minikube_kube-system_9d3d310935e5fabe942511eec3e2cd0c_0]
        c1c210f81a22                   sha256:b07520cd7ab76ec98ea6c07ae56d21d65f29708c24f90a55a3c30d823419577e     "kube-controller-manager …"     Exited (2) 31 hours ago                  []        [/k8s_kube-controller-manager_kube-controller-manager-minikube_kube-system_b965983ec05322d0973594a01d5e8245_0]
        7f73c9cda6ae                   sha256:99a3486be4f2837c939313935007928f97b81a1cf11495808d81ad6b14c04078              "kube-scheduler …"   Exited (255) 31 hours ago                  []                          [/k8s_kube-scheduler_kube-scheduler-minikube_kube-system_be132fe5c6572cb34d93f5e05ce2a540_0]
        cc56e89fbf50                                                                      k8s.gcr.io/pause:3.6                        "/pause"   Exited (255) 31 hours ago                  []                                     [/k8s_POD_kube-scheduler-minikube_kube-system_be132fe5c6572cb34d93f5e05ce2a540_0]
        7b4023d70622                                                                      k8s.gcr.io/pause:3.6                        "/pause"   Exited (255) 31 hours ago                  []                            [/k8s_POD_kube-controller-manager-minikube_kube-system_b965983ec05322d0973594a01d5e8245_0]
