2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Features detected from environment: docker,kubernetes,orchestratorexplorer
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | no config exists at /etc/datadog-agent/system-probe.yaml, ignoring...
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Successful configuration found for Kubelet, using URL: https://192.168.49.2:10250
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Collector kubelet successfully detected
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Collector docker successfully detected
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Using collector kubelet
2022-04-04 22:14:57 UTC | PROCESS | WARN | (pkg/util/log/log.go:592 in func1) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | overriding API key from env DD_API_KEY value
2022-04-04 22:14:57 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Using configured cluster_agent.auth_token
2022-04-04 22:14:58 UTC | PROCESS | WARN | (pkg/process/config/config.go:345 in NewAgentConfig) | Failed to auto-detect a Kubernetes cluster name. Pod collection will not start. To fix this, set it manually via the cluster_name config option
2022-04-04 22:14:58 UTC | PROCESS | INFO | (main_common.go:225 in runAgent) | running on platform: ubuntu
2022-04-04 22:14:58 UTC | PROCESS | INFO | (main_common.go:226 in runAgent) | running version: Version: 7.34.0, Git hash: 7861858, Git branch: HEAD, Build date: 2022-02-28T19:13:56, Go Version: go version go1.16.12 linux/amd64, 
2022-04-04 22:14:58 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:361 in startCandidates) | workloadmeta collector "kubelet" started successfully
2022-04-04 22:14:58 UTC | PROCESS | INFO | (pkg/api/security/security.go:191 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2022-04-04 22:14:58 UTC | PROCESS | ERROR | (pkg/workloadmeta/collectors/kubemetadata/kubemetadata.go:72 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: unexpected status code from cluster agent: 403
2022-04-04 22:14:58 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:364 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
