2022-04-04 22:14:58 UTC | TRACE | INFO | (pkg/util/log/log.go:572 in func1) | runtime: final GOMAXPROCS value is: 4
2022-04-04 22:14:58 UTC | TRACE | INFO | (pkg/util/log/log.go:572 in func1) | Features detected from environment: kubernetes,docker
2022-04-04 22:14:58 UTC | TRACE | INFO | (pkg/util/log/log.go:572 in func1) | Loaded configuration: /etc/datadog-agent/datadog.yaml
2022-04-04 22:14:58 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:318 in func1) | unable to establish stream, will possibly retry: unable to fetch authentication token: unable to read authentication token file: open /etc/datadog-agent/auth_token: no such file or directory
2022-04-04 22:14:58 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:333 in func1) | unable to establish stream, will possibly retry: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing dial tcp :5001: connect: connection refused"
2022-04-04 22:14:59 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:333 in func1) | unable to establish stream, will possibly retry: rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing dial tcp :5001: connect: connection refused"
2022-04-04 22:15:00 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:337 in func1) | tagger stream established successfully
2022-04-04 22:15:00 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:110 in Init) | remote tagger initialized successfully
2022-04-04 22:15:00 UTC | TRACE | INFO | (pkg/trace/agent/run.go:176 in Run) | Trace agent running on host minikube
2022-04-04 22:15:00 UTC | TRACE | INFO | (pkg/trace/api/api.go:185 in Start) | Listening for traces at http://0.0.0.0:8126
2022-04-04 22:15:00 UTC | TRACE | INFO | (pkg/trace/api/api.go:196 in Start) | Listening for traces at unix:///var/run/datadog/apm.socket
2022-04-04 22:15:10 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:16:10 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:17:20 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:18:20 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:19:20 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:20:30 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:21:30 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:22:40 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:23:40 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:24:40 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:25:50 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:26:59 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:28:09 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:29:19 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:30:19 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:31:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:32:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:33:39 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:34:49 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:35:59 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:37:09 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:38:09 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:39:09 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:40:19 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:41:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:42:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:43:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:44:39 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:45:49 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:46:59 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:47:59 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:49:08 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:50:18 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-04 22:51:28 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
