        CONTAINER ID                                                                                     IMAGE                         COMMAND                         STATUS               PORTS                                                                                                                 NAMES
        39e2aed00486   prom/prometheus@sha256:b37103e03399e90c9b7b1b2940894d3634915cf9df4aa2e5402bd85b4377808c             "/bin/prometheus …"                   Up 2 minutes                  []                             [/k8s_prometheus-apache_prometheus-apache_default_d5efcf8b-f09b-4d20-a092-991c0084324a_0]
        62e4a168f390                                                                      k8s.gcr.io/pause:3.6                        "/pause"                   Up 2 minutes                  []                                           [/k8s_POD_prometheus-apache_default_d5efcf8b-f09b-4d20-a092-991c0084324a_0]
        8ea5e953e11e                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38               "process-agent …"                  Up 27 minutes                  []                             [/k8s_process-agent_release-datadog-jsw4z_default_caee2b10-3d11-4f8a-9da6-f4765702d91f_0]
        451d0c91b0bc                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                 "trace-agent …"                  Up 27 minutes                  []                               [/k8s_trace-agent_release-datadog-jsw4z_default_caee2b10-3d11-4f8a-9da6-f4765702d91f_0]
        f80a7a72deb4                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                       "agent …"                  Up 27 minutes                  []                                     [/k8s_agent_release-datadog-jsw4z_default_caee2b10-3d11-4f8a-9da6-f4765702d91f_0]
        2356b6eab490                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                        "bash …"      Exited (0) 27 minutes ago                  []                               [/k8s_init-config_release-datadog-jsw4z_default_caee2b10-3d11-4f8a-9da6-f4765702d91f_0]
        36cc3715e726                   sha256:2efdb068c51a0f81283a7bb1df7bd8fca0233b7e0eb9f61bb410cb79c623cb38                        "bash …"      Exited (0) 27 minutes ago                  []                               [/k8s_init-volume_release-datadog-jsw4z_default_caee2b10-3d11-4f8a-9da6-f4765702d91f_0]
        6da016565a94                                                                      k8s.gcr.io/pause:3.6                        "/pause"                  Up 27 minutes                  []                                       [/k8s_POD_release-datadog-jsw4z_default_caee2b10-3d11-4f8a-9da6-f4765702d91f_0]
        52b0f6a5a8c3                   sha256:2f37d032146a5a628cb423ba9e412de31439db4203ea83a901cea5fac6573a3b              "/entrypoint.sh …"                  Up 27 minutes                  []    [/k8s_cluster-agent_release-datadog-cluster-agent-564cdc4768-hbnls_default_e19a97b2-da2f-48aa-a2e0-3fbd61ef18b7_0]
        2498861c9fdf                                                                      k8s.gcr.io/pause:3.6                        "/pause"                  Up 27 minutes                  []              [/k8s_POD_release-datadog-cluster-agent-564cdc4768-hbnls_default_e19a97b2-da2f-48aa-a2e0-3fbd61ef18b7_0]
