2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Features detected from environment: orchestratorexplorer,docker,kubernetes
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | no config exists at /etc/datadog-agent/system-probe.yaml, ignoring...
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Collector docker successfully detected
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Successful configuration found for Kubelet, using URL: https://192.168.49.2:10250
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Collector kubelet successfully detected
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Using collector kubelet
2022-04-06 04:50:07 UTC | PROCESS | WARN | (pkg/util/log/log.go:592 in func1) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | overriding API key from env DD_API_KEY value
2022-04-06 04:50:07 UTC | PROCESS | INFO | (pkg/util/log/log.go:572 in func1) | Using configured cluster_agent.auth_token
2022-04-06 04:50:08 UTC | PROCESS | WARN | (pkg/process/config/config.go:345 in NewAgentConfig) | Failed to auto-detect a Kubernetes cluster name. Pod collection will not start. To fix this, set it manually via the cluster_name config option
2022-04-06 04:50:08 UTC | PROCESS | INFO | (main_common.go:225 in runAgent) | running on platform: ubuntu
2022-04-06 04:50:08 UTC | PROCESS | INFO | (main_common.go:226 in runAgent) | running version: Version: 7.34.0, Git hash: 7861858, Git branch: HEAD, Build date: 2022-02-28T19:13:56, Go Version: go version go1.16.12 linux/amd64, 
2022-04-06 04:50:08 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:361 in startCandidates) | workloadmeta collector "kubelet" started successfully
2022-04-06 04:50:08 UTC | PROCESS | INFO | (pkg/api/security/security.go:191 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2022-04-06 04:50:08 UTC | PROCESS | ERROR | (pkg/workloadmeta/collectors/kubemetadata/kubemetadata.go:72 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: unexpected status code from cluster agent: 403
2022-04-06 04:50:08 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:364 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
2022-04-06 04:50:08 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:364 in startCandidates) | workloadmeta collector "cloudfoundry" could not start. error: component workloadmeta-cloudfoundry is disabled: Agent is not running on CloudFoundry
2022-04-06 04:50:08 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:364 in startCandidates) | workloadmeta collector "containerd" could not start. error: component workloadmeta-containerd is disabled: Agent is not running on containerd
2022-04-06 04:50:08 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:361 in startCandidates) | workloadmeta collector "docker" started successfully
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:364 in startCandidates) | workloadmeta collector "ecs_fargate" could not start. error: component workloadmeta-ecs_fargate is disabled: Agent is not running on Fargate
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:182 in Start) | workloadmeta store initialized successfully
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/tagger/local/tagger.go:178 in tryCollectors) | workloadmeta tag collector successfully started
2022-04-06 04:50:09 UTC | PROCESS | INFO | (api/server.go:37 in StartServer) | API server listening on localhost:6162
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/process/checks/process.go:76 in Init) | no network ID detected: could not detect network ID
2022-04-06 04:50:09 UTC | PROCESS | INFO | (collector.go:239 in run) | Starting process-agent for host=minikube, endpoints=[https://process.datadoghq.com], orchestrator endpoints=[https://orchestrator.datadoghq.com], enabled checks=[process rtprocess]
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/forwarder/forwarder.go:225 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/forwarder/forwarder.go:225 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/forwarder/forwarder.go:225 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/forwarder/forwarder.go:328 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com" (1 api key(s))
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/forwarder/forwarder.go:328 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com" (1 api key(s))
2022-04-06 04:50:09 UTC | PROCESS | INFO | (pkg/forwarder/forwarder.go:328 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://orchestrator.datadoghq.com" (1 api key(s))
2022-04-06 04:50:11 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-06 04:50:11 UTC | PROCESS | INFO | (collector.go:173 in logCheckDuration) | Finished process check #1 in 25.2653ms
2022-04-06 04:50:21 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-06 04:50:21 UTC | PROCESS | INFO | (pkg/api/security/security.go:191 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2022-04-06 04:50:21 UTC | PROCESS | INFO | (collector.go:173 in logCheckDuration) | Finished process check #2 in 290.6078ms
2022-04-06 04:50:22 UTC | PROCESS | INFO | (pkg/forwarder/transaction/transaction.go:366 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/collector", the agent will only log transaction success every 500 transactions
2022-04-06 04:50:31 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-06 04:50:31 UTC | PROCESS | INFO | (pkg/api/security/security.go:191 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2022-04-06 04:50:31 UTC | PROCESS | INFO | (pkg/util/clusteragent/clusteragent.go:128 in init) | Successfully connected to the Datadog Cluster Agent 1.18.0+commit.78e3126
2022-04-06 04:50:31 UTC | PROCESS | INFO | (collector.go:173 in logCheckDuration) | Finished process check #3 in 224.3417ms
