2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/util/log/log.go:572 in func1) | runtime: final GOMAXPROCS value is: 4
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/util/log/log.go:572 in func1) | Features detected from environment: kubernetes,docker
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/util/log/log.go:572 in func1) | Loaded configuration: /etc/datadog-agent/datadog.yaml
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:337 in func1) | tagger stream established successfully
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/tagger/remote/tagger.go:110 in Init) | remote tagger initialized successfully
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/trace/agent/run.go:176 in Run) | Trace agent running on host minikube
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/trace/api/api.go:185 in Start) | Listening for traces at http://0.0.0.0:8126
2022-04-06 04:50:09 UTC | TRACE | INFO | (pkg/trace/api/api.go:196 in Start) | Listening for traces at unix:///var/run/datadog/apm.socket
2022-04-06 04:50:19 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:51:29 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:52:39 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:53:49 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:54:58 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:55:58 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:56:58 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:58:08 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 04:59:18 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:00:18 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:01:28 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:02:38 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:03:38 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:04:48 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:05:58 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:06:58 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:08:08 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:09:17 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:10:27 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:11:37 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:12:37 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:13:47 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:14:47 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:15:47 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
2022-04-06 05:16:57 UTC | TRACE | INFO | (pkg/trace/info/stats.go:104 in LogStats) | No data received
